Customer State,Customer Street,Customer City,Customer Country,Location Id
PR,5365 Noble Nectar Island,Caguas,Puerto Rico,366949
PR,2679 Rustic Loop,Caguas,Puerto Rico,383746
CA,8510 Round Bear Gate,San Jose,EE. UU.,956540
CA,3200 Amber Bend,Los Angeles,EE. UU.,116878
PR,8671 Iron Anchor Corners,Caguas,Puerto Rico,779661
NY,2122 Hazy Corner,Tonawanda,EE. UU.,294986
PR,1879 Green Pine Bank,Caguas,Puerto Rico,444636
FL,7595 Cotton Log Row,Miami,EE. UU.,178694
PR,2051 Dusty Route,Caguas,Puerto Rico,160199
CA,9139 Blue Blossom Court,San Ramon,EE. UU.,723181
PR,4058 Quiet Heights,Caguas,Puerto Rico,432820
NY,3243 Shady Corner,Freeport,EE. UU.,310796
CA,131 Sunny Treasure Green,Salinas,EE. UU.,429376
PR,2531 Wishing Square,Caguas,Puerto Rico,857316
MA,6417 Silver Towers,Peabody,EE. UU.,274570
PR,257 Harvest Close,Caguas,Puerto Rico,906731
PR,7342 Hazy Beacon Park,Canovanas,Puerto Rico,105115
CA,7787 Lazy Corners,Paramount,EE. UU.,229987
PR,5136 Rustic Pioneer Estates,Caguas,Puerto Rico,575673
IL,1723 Tawny Via,Mount Prospect,EE. UU.,347987
CA,7111 Silent Fox Gardens,Long Beach,EE. UU.,117885
PR,3732 Old Mountain Bank,Caguas,Puerto Rico,862717
CA,6217 Rustic Lake Forest,Rancho Cordova,EE. UU.,936717
PR,1082 Quiet Treasure Link,Caguas,Puerto Rico,415586
MT,3176 Round Gate,Billings,EE. UU.,276943
PR,1426 Fallen Line,Caguas,Puerto Rico,646374
PA,9814 Emerald Prairie Limits,Wilkes Barre,EE. UU.,371658
PR,8271 Tawny Elk Abbey,Caguas,Puerto Rico,546615
MI,3931 Gentle Ramp,Roseville,EE. UU.,386618
CA,9699 Honey Rise,Bellflower,EE. UU.,498538
PR,1564 Rocky Terrace,Caguas,Puerto Rico,496476
IL,4294 High Passage,Wheaton,EE. UU.,149902
PR,5918 Golden Beacon Freeway,Caguas,Puerto Rico,952029
MI,3915 Broad Lookout,Detroit,EE. UU.,530082
TX,7190 Silver Horse Glade,Dallas,EE. UU.,722778
PR,830 Broad Beacon Maze,Caguas,Puerto Rico,481213
PA,6127 Dewy Goose Downs,Carlisle,EE. UU.,810176
TX,1188 Old Abbey,Dallas,EE. UU.,472407
PR,7004 Hazy Lake Townline,Caguas,Puerto Rico,742130
DE,2556 Umber Autoroute,Newark,EE. UU.,858543
CA,3722 Thunder Cape,Panorama City,EE. UU.,258829
PR,2676 Velvet Common,Caguas,Puerto Rico,142611
GA,833 Amber Anchor Glen,Atlanta,EE. UU.,300945
PR,830 Quaking Bear Grounds,Caguas,Puerto Rico,393425
CA,1509 Middle Oak Isle,Fremont,EE. UU.,649809
PR,9712 Fallen Robin Diversion,Caguas,Puerto Rico,803368
NY,8665 Sunny Deer Woods,Rochester,EE. UU.,907842
TX,9879 Harvest Deer Farms,Dallas,EE. UU.,681001
PR,75 Sunny Grounds,Bayamon,Puerto Rico,212119
PR,9731 Honey Fox Towers,Caguas,Puerto Rico,668072
PR,7573 Golden Treasure Centre,Caguas,Puerto Rico,346626
PR,8369 Sunny Crossing,Caguas,Puerto Rico,909228
PR,1425 Fallen Fox Arbor,Caguas,Puerto Rico,407751
PR,2290 Crystal Pathway,Caguas,Puerto Rico,197009
PR,6179 Noble Panda Moor,Caguas,Puerto Rico,237072
PR,8205 Silver Grove Row,Caguas,Puerto Rico,960289
PR,7786 Middle Private,Caguas,Puerto Rico,630263
PR,4294 High Passage,Caguas,Puerto Rico,708365
PR,5274 Easy Beach,Caguas,Puerto Rico,127943
